Price,Close,High,Low,Open,Volume
Ticker,2331.HK,2331.HK,2331.HK,2331.HK,2331.HK
Date,,,,,
2009-01-02,9.290858268737793,9.290858268737793,8.770570474337376,9.023281621821342,2729901
2009-01-05,9.736820220947266,9.736820220947266,9.21653237984376,9.365185825600141,4472970
2009-01-06,9.662492752075195,9.707089250932736,9.454377319318901,9.454377319318901,3166013
2009-01-07,8.889493942260742,9.662492906181594,8.874628442404473,9.662492906181594,7338289
2009-01-08,8.250282287597656,8.844897607168944,7.759725468955293,8.78543638759427,18426337
2009-01-09,8.309743881225586,8.398936886036724,8.205686937524945,8.250282658974337,5111000
2009-01-12,8.19081974029541,8.324607657890507,8.071896539467312,8.10162753491334,5693731
2009-01-13,8.681377410888672,8.770570406796732,7.9529741919549535,8.324608551080818,3230313
2009-01-14,8.547589302062988,8.844896939402693,8.443531589946287,8.844896939402693,1899978
2009-01-15,8.235417366027832,8.473263822948233,8.086763916169728,8.17595614227583,3863816
2009-01-16,8.592182159423828,8.844893996608391,8.175952230397417,8.235413425699527,5261819
2009-01-19,8.413802146911621,8.844897753091502,8.280013424466196,8.844897753091502,1919788
2009-01-20,8.413802146911621,8.458397867089328,8.220551422954381,8.324609144643901,3955811
2009-01-21,8.250282287597656,8.5475899473833,8.22055128733225,8.413802008101252,5631662
2009-01-22,8.294878005981445,8.428667507158707,8.205686567108884,8.324609006243058,2294216
2009-01-23,7.923242568969727,8.25028118532711,7.759724432225089,8.25028118532711,8872820
2009-01-29,8.220550537109375,8.488127953166135,8.012435897112884,8.146223824185196,12583018
2009-01-30,8.146223068237305,8.175954063030446,7.96783944234644,8.175954063030446,2855169
2009-02-02,7.967840671539307,8.146224324949285,7.952974390893329,8.146224324949285,3854257
2009-02-03,8.101629257202148,8.131360258968556,7.908379307632861,7.967841311165675,1319668
2009-02-04,8.19081974029541,8.28001194567748,8.057031822700313,8.175954242572397,4588212
2009-02-05,7.938107490539551,8.25028058607593,7.878646283228041,8.071896183185421,7057858
2009-02-06,7.804320812225342,8.057032740388182,7.596206163267142,8.027301741555824,10414235
2009-02-09,7.789453983306885,8.027300371457978,7.655666073308368,8.027300371457978,5847230
2009-02-10,8.324606895446777,8.324606895446777,7.72999250767855,7.72999250767855,7080701
2009-02-11,8.488126754760742,8.740837074450132,8.057031255900327,8.057031255900327,5204660
2009-02-12,8.309743881225586,8.621917055196038,8.175955935921232,8.354340383631154,2165477
2009-02-13,8.398934364318848,8.473261065055912,8.25028018188878,8.324606882625844,2515684
2009-02-16,8.294878005981445,8.309743506112252,8.116494347280184,8.309743506112252,2719655
2009-02-17,8.101629257202148,8.220551702355417,8.086763756318945,8.220551702355417,2665497
2009-02-18,8.071898460388184,8.086763961648835,7.893514007172765,8.02730273756243,3394390
2009-02-19,8.101629257202148,8.294878425815256,7.997571531975903,8.02730253374231,1121598
2009-02-20,7.952973365783691,8.101627562565191,7.893512155644701,8.08676206479144,3099844
2009-02-23,7.952973365783691,8.175954270477932,7.848915662323447,8.175954270477932,3584693
2009-02-24,7.6705322265625,7.878646857808324,7.655666728411505,7.863781359657329,4046705
2009-02-25,7.655668258666992,7.878648432634268,7.432687303743523,7.878648432634268,6944784
2009-02-26,7.492147922515869,7.581340922050614,7.447552203704627,7.581340922050614,3998015
2009-02-27,7.209705352783203,7.611070660337517,7.046185661696186,7.462416466708956,9597383
2009-03-02,6.838070869445801,7.209705172806029,6.696849818549794,7.209705172806029,4774442
2009-03-03,7.127946376800537,7.224571731590135,6.674552163308625,6.763745158940298,4991129
2009-03-04,7.655668258666992,7.729994983322751,7.127947264081198,7.127947264081198,7806296
